Código,Nome,Município,Área,Total de Famílias,Total Famílias 2,Fase,Tipo,Número,Data da Criação,Obtenção,Data da Obtenção,Município IBGE
MT0002009,PAR GLEBA CAFEZAL,COLIDER,"20.000,00",600,900,7,10,1,12/10/1980,Discriminação,12/10/1980,Colíder
MT0011000,PAC PEIXOTO DE AZEVEDO,NOVO MUNDO,"120.000,00",1279,1600,7,1,132,27/08/1979,Arrecadação,03/03/1980,Novo Mundo
MT0012000,PAC CARLINDA,ALTA FLORESTA,"89.986,00",1308,1386,6,15,21,24/02/1981,Arrecadação,24/02/1981,Alta Floresta
MT0013000,PA BRAÇO SUL,GUARANTA DO NORTE,"115.050,00",1866,2530,7,1,52,30/03/1981,Arrecadação,30/03/1981,Guarantã Do Norte
MT0014000,PA CAPÃO VERDE,ALTO PARAGUAI,"5.806,77",163,169,7,1,316,05/06/1986,Desapropriação,05/02/1985,Alto Paraguai
MT0015000,PA TUPÃ,CURVELANDIA,"2.866,56",113,126,7,1,486,08/08/1986,Desapropriação,05/06/1984,Curvelândia
MT0016000,PA MORRINHO,GENERAL CARNEIRO,"2.149,85",29,28,6,1,487,08/08/1986,Arrecadação,07/05/1981,General Carneiro
MT0017000,PA SARARÉ,NOVA LACERDA,"18.131,70",256,266,6,1,965,11/12/1986,Desapropriação,25/02/1986,Nova Lacerda
MT0018000,PA 1.500 ALQUEIRES,PONTES E LACERDA,"3.630,00",69,78,7,1,964,11/12/1986,Desapropriação,18/12/1985,Pontes E Lacerda
MT0019000,PA NOVA ALVORADA,COMODORO,"7.870,00",94,123,7,1,979,17/12/1986,Arrecadação,16/05/1986,Comodoro
MT0020000,PA PAPIRO,PORTO ESPERIDIAO,"1.126,01",30,30,3,1,84,29/01/1987,Desapropriação,25/10/1985,Porto Esperidião
MT0021000,PA NOVO MÉXICO,COLIDER,"9.880,61",182,195,7,1,82,29/01/1987,Desapropriação,13/08/1984,Colíder
MT0022000,PA CORONEL ARI,PONTES E LACERDA,"7.500,00",135,200,5,1,291,01/04/1987,Desapropriação,26/06/1986,Pontes E Lacerda
MT0023000,PA CANA BRAVA,CANABRAVA DO NORTE,"35.467,87",444,465,6,1,293,01/04/1987,Desapropriação,12/07/1984,Canabrava Do Norte
MT0025000,PA HIJ,TERRA NOVA DO NORTE,"21.182,40",357,357,7,1,405,21/05/1987,Arrecadação,16/01/1979,Terra Nova Do Norte
MT0026000,PA ETA,PEIXOTO DE AZEVEDO,"22.674,10",303,325,3,1,404,21/05/1987,Arrecadação,11/03/1987,Peixoto De Azevedo
MT0027000,PA TIRA SENTIDO,ALTO PARAGUAI,"6.262,79",117,118,7,1,458,28/05/1987,Desapropriação,18/12/1986,Alto Paraguai
MT0028000,PA JATOBAZINHO,,"15.033,46",219,229,3,1,457,28/05/1987,Desapropriação,16/12/1986,#N/A
MT0029000,PA FORMOSA,VILA BELA DA SANTISSIMA TRINDADE,"13.327,05",216,241,7,1,456,28/05/1987,Desapropriação,27/07/1986,Vila Bela Da Santíssima Trindade
MT0030000,PA GATO PRETO,ALTO ARAGUAIA,"7.523,32",88,88,3,1,455,28/05/1987,Desapropriação,26/06/1986,Alto Araguaia
MT0031000,PA SAFRA,NOVA XAVANTINA,"29.417,33",358,359,3,1,454,28/05/1987,Desapropriação,25/09/1986,Nova Xavantina
MT0034000,PA AYMORÉ,SAO JOSE DO XINGU,"5.827,68",68,72,3,1,697,14/08/1987,Desapropriação,14/08/1987,São José Do Xingu
MT0035000,PA CRUZEIRO DO NORTE,RIBEIRAO CASCALHEIRA,"4.964,73",56,56,3,1,696,14/08/1987,Desapropriação,14/08/1987,Ribeirão Cascalheira
MT0036000,PA JANDIRA,AGUA BOA,"9.167,71",144,150,6,1,695,14/08/1987,Desapropriação,24/08/1987,Água Boa
MT0037000,PA MARAGATOS,NOVA NAZARE,"2.482,02",40,41,3,1,694,14/08/1987,Desapropriação,29/01/1987,Nova Nazaré
MT0039000,PA ILHA DO COCO,NOVA XAVANTINA,"2.852,33",28,43,6,1,691,14/08/1987,Desapropriação,26/09/1986,Nova Xavantina
